,V1,num_cs,num_worms,Prop-missing,Nb_bio_missing,,,,,Class,Value,Variable,Class_num,z-score,,,,,Class,Class_num,z_score,,Class,Value,Variable,Class_num,z-score
,,,,,,,,,,,,,,,,,Copepoda,54,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Remipedia,56,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Cephalocarida,57,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Branchiopoda,55,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Collembola,49,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Insecta,50,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Pycnogonida,44,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Merostomata,45,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Arachnida,46,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Clitellata,26,3,,,,,,,,
,,,,,,,,,,,,,,,,,Polychaeta,27,3,,,,,,,,
,,,,,,,,,,,,,,,,,Nemertea,28,3,,,,,,,,
,,,,,,,,,,,,,,,,,Rhynchonellata,29,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Lingulata,30,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Craniata,31,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Eurotatoria,25,3,,,,,,,,
,,,,,,,,,,,,,,,,,Monoplacophora,34,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Gastropoda,35,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Bivalvia,36,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Polyplacophora,37,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Caudofoveata,38,3,,,,,,,,
,,,,,,,,,,,,,,,,,Solenogastres,39,3,,,,,,,,
,,,,,,,,,,,,,,,,,Scaphopoda,33,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Cephalopoda,32,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Gymnolaemata,24,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Homoscleromorpha,1,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Hexactinellida,2,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Calcarea,4,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Demospongiae,3,-3,,,,,,,,
