"","V1","V2"
"587","Staurotheca densa","Cnidaria"
"588","Dolloidraco longedorsalis","Chordata"
"589","Muraenolepis microps","Chordata"
"590","Cynomacrurus piriei","Chordata"
"591","Gnathiphimedia mandibularis","Arthropoda"
"592","Aeginoides gaussi","Arthropoda"
"593","Gnathiphimedia sexdentata","Arthropoda"
"594","Colossendeis glacialis","Arthropoda"
"595","Radiella antarctica","Porifera"
"596","Notisis elongata","Cnidaria"
"597","Diasterope schmitti","Arthropoda"
"598","Macrotrachela habita","Rotifera"
"599","Hippothoa flagellum","Bryozoa"
"600","Plicatellopsis antarctica","Porifera"
"601","Camptoplites bicornis","Bryozoa"
"602","Frovina indecora","Mollusca"
"603","Lorabela davisi","Mollusca"
"604","Melanella exulata","Mollusca"
"605","Echiniphimedia hodgsoni","Arthropoda"
"606","Bathycrinus australis","Echinodermata"
"607","Haloptilus ocellatus","Arthropoda"
"608","Psolidium whittakeri","Echinodermata"
"609","Artedidraco lonnbergi","Chordata"
"610","Antarctospira badenpowelli","Mollusca"
"611","Philodina antarctica","Rotifera"
"612","Iophon flabellodigitatum","Porifera"
"613","Clathria (Microciona) antarctica","Porifera"
"614","Hormosoma scotti","Cnidaria"
"615","Camptoplites angustus","Bryozoa"
"616","Melicerita latilaminata","Bryozoa"
"617","Leptopenus antarcticus","Cnidaria"
"618","Ophioleuce regulare","Echinodermata"
"619","Antarctoscyphus spiralis","Cnidaria"
"620","Cuspidaria tenella","Mollusca"
"621","Trilirata macmurdensis","Mollusca"
"622","Zyzzyzus parvula","Cnidaria"
"623","Colomastix fissilingua","Arthropoda"
"624","Thouarella (Thouarella) pendulina","Cnidaria"
"625","Aequiyoldia eightsii","Mollusca"
"626","Metridia curticauda","Arthropoda"
"627","Pelagobia longicirrata","Annelida"
"628","Abatus ingens","Echinodermata"
"629","Chondrocladia (Chondrocladia) clavata","Porifera"
"630","Isodictya cavicornuta","Porifera"
"631","Lissodendoryx (Ectyodoryx) ramilobosa","Porifera"
"632","Fibulia maeandrina","Porifera"
