"","Species","Phylum","Class"
"11862","Idiellana pristis","Cnidaria","Hydrozoa"
"11863","Octophialucium indicum","Cnidaria","Hydrozoa"
"11864","Ophiactis asperula","Echinodermata","Ophiuroidea"
"11865","Asteronyx luzonicus","Echinodermata","Ophiuroidea"
"11866","Glyptidotea lichtensteini","Arthropoda","Malacostraca"
"11867","Synoicum arenaceum","Chordata","Ascidiacea"
"11868","Austroarcturus dayi","Arthropoda","Malacostraca"
"11869","Natalianira spinosa","Arthropoda","Malacostraca"
"11870","Gnathophis leptosomatus","Chordata","Teleostei"
"11871","Histiobranchus australis","Chordata","Teleostei"
"11872","Synodus oculeus","Chordata","Teleostei"
"11873","Diogenichthys laternatus","Chordata","Teleostei"
"11874","Halosaurus carinicauda","Chordata","Teleostei"
"11875","Liopropoma latifasciatum","Chordata","Teleostei"
"11876","Scorpaenopsis cotticeps","Chordata","Teleostei"
"11877","Ecsenius yaeyamaensis","Chordata","Teleostei"
"11878","Etroplus suratensis","Chordata","Teleostei"
"11879","Snyderidia canina","Chordata","Teleostei"
"11880","Paralemnalia thyrsoides","Cnidaria","Anthozoa"
"11881","Thalassianthus aster","Cnidaria","Anthozoa"
"11882","Dynamenella dioxus","Arthropoda","Malacostraca"
"11883","Ostorhinchus moluccensis","Chordata","Teleostei"
"11884","Lagisca irritans","Annelida","Polychaeta"
"11885","Lopadorrhynchus panikkari","Annelida","Polychaeta"
"11886","Acrosterigma attenuatum","Mollusca","Bivalvia"
"11887","Centropages trispinosus","Arthropoda","Copepoda"
"11888","Caligus biseriodentatus","Arthropoda","Copepoda"
"11889","Pseudanthessius major","Arthropoda","Copepoda"
"11890","Nymphaster nora","Echinodermata","Asteroidea"
"11891","Fusivoluta blaizei","Mollusca","Gastropoda"
"11892","Nellia tenella","Bryozoa","Gymnolaemata"
"11893","Thalamita seurati","Arthropoda","Malacostraca"
"11894","Pseudohelice subquadrata","Arthropoda","Malacostraca"
"11895","Littoraria carinifera","Mollusca","Gastropoda"
"11896","Peristernia forskalii leucothea","Mollusca","Gastropoda"
"11897","Nealella monothrix","Arthropoda","Ostracoda"
"11898","Ipsa childreni","Mollusca","Gastropoda"
"11899","Volvatella vigourouxi","Mollusca","Gastropoda"
"11900","Limea limopsis","Mollusca","Bivalvia"
"11901","Parapontocaris bengalensis","Arthropoda","Malacostraca"
"11902","Stomatella elegans","Mollusca","Gastropoda"
"11903","Bolma massieri","Mollusca","Gastropoda"
"11904","Lipkemenes lanipes","Arthropoda","Malacostraca"
"11905","Semicassis microstoma","Mollusca","Gastropoda"
"11906","Viriola fuscescens","Mollusca","Gastropoda"
"11907","Acontiophorum bombayense","Cnidaria","Anthozoa"
"11908","Haliotis dringii","Mollusca","Gastropoda"
"11909","Phyllocoma convoluta","Mollusca","Gastropoda"
"11910","Vexillum corbicula","Mollusca","Gastropoda"
"11911","Porites minicoiensis","Cnidaria","Anthozoa"
"11912","Ucidinae","Arthropoda","Malacostraca"
"11913","Sclerophytum gardineri","Cnidaria","Anthozoa"
"11914","Boasia chierchiae","Mollusca","Gastropoda"
"11915","Glandulotiron australis","Arthropoda","Malacostraca"
"11916","Corbulidae","Mollusca","Bivalvia"
"11917","Cerianthus","Cnidaria","Anthozoa"
"11918","Molgula","Chordata","Ascidiacea"
"11919","Paracalanidae","Arthropoda","Copepoda"
"11920","Scolecithricella orientalis","Arthropoda","Copepoda"
"11921","Thysanopoda aequalis","Arthropoda","Malacostraca"
"11922","Cymodoce","Arthropoda","Malacostraca"
"11923","Ypsilothuriidae","Echinodermata","Holothuroidea"
"11924","Trachonurus","Chordata","Teleostei"
